record_id,graph_sha256,graph_reference,outcome,method,n,seed,episode
candidate/s2/n10/e1,dd108f24bc5c84931b1d8341571bbbb80dddb0544481f8de9e9bf2ecf61aa8ea,study/artifacts/evaluation/candidate/seed-2/n-10/chunk-000000.json.gz,unbalanced_bipartite,candidate,10,2,1
candidate/s2/n10/e39,dc575426ad897a0c3ba039542e234de3b72051077ae2a1473b2508376c0e4a05,study/artifacts/evaluation/candidate/seed-2/n-10/chunk-000032.json.gz,nonbipartite,candidate,10,2,39
candidate/s2/n11/e0,951a2daaa0f9aa05855ce46de59828486815a6960604c9236424d775a00d054b,study/artifacts/evaluation/candidate/seed-2/n-11/chunk-000000.json.gz,nonbipartite,candidate,11,2,0
candidate/s2/n11/e1,a3690b6e1b2555e36ff9717b0e8b7eba3ff0e56ba7f5b00828f79e169a4d0367,study/artifacts/evaluation/candidate/seed-2/n-11/chunk-000000.json.gz,unbalanced_bipartite,candidate,11,2,1
candidate/s2/n11/e2,fed98248b17ed51bd0473f65c55cc40c83e125b358f2640255a4d440d9e89947,study/artifacts/evaluation/candidate/seed-2/n-11/chunk-000000.json.gz,exact,candidate,11,2,2
candidate/s2/n12/e0,413b0e1d3c32e0d9ac7aabd7fb4d39a0589bc9ca63bd1c031a0d7c0039c3fddf,study/artifacts/evaluation/candidate/seed-2/n-12/chunk-000000.json.gz,nonbipartite,candidate,12,2,0
candidate/s2/n12/e1,3c97181c6a8c5161d64760c48ce1f539de52da3422d2ffa96f917d3575db70d0,study/artifacts/evaluation/candidate/seed-2/n-12/chunk-000000.json.gz,exact,candidate,12,2,1
candidate/s2/n12/e4,f8b9954e4f7a80330e2f020190a048903a43b7b324f40094351f7fa80d904843,study/artifacts/evaluation/candidate/seed-2/n-12/chunk-000000.json.gz,unbalanced_bipartite,candidate,12,2,4
candidate/s2/n13/e0,5b0828efc1a0f6eaca7d76bf9ffab68d0b5f174fd90392366ef6a8b0dd8ef2ee,study/artifacts/evaluation/candidate/seed-2/n-13/chunk-000000.json.gz,exact,candidate,13,2,0
candidate/s2/n13/e3,1aa27ea5088426d415598b791a1693f72f8da4f2609b211b282575af4aebcb6c,study/artifacts/evaluation/candidate/seed-2/n-13/chunk-000000.json.gz,nonbipartite,candidate,13,2,3
candidate/s2/n13/e55,16a7c3fddc7be0a3d19c0e70f8d751069e8988e8b236be6a767233009ece502f,study/artifacts/evaluation/candidate/seed-2/n-13/chunk-000032.json.gz,unbalanced_bipartite,candidate,13,2,55
candidate/s2/n14/e0,a4603d68d9b4691ceb5f2f94f222bbc99ead0308d76f9d2a05634ec8d2d118bc,study/artifacts/evaluation/candidate/seed-2/n-14/chunk-000000.json.gz,exact,candidate,14,2,0
candidate/s2/n14/e2,e4ecafa6d23c2916f4e0f86da07597cf8462ee20c43726f7a4f9c3556c450d04,study/artifacts/evaluation/candidate/seed-2/n-14/chunk-000000.json.gz,unbalanced_bipartite,candidate,14,2,2
candidate/s2/n14/e8,c0e3a18401435b188ed962e0042d880d3857e78304701b814ef762632e42d01b,study/artifacts/evaluation/candidate/seed-2/n-14/chunk-000000.json.gz,nonbipartite,candidate,14,2,8
candidate/s2/n15/e0,91d15d2c6112e5d30cb14ae0ca04eecea5fbbafb0bc1f7a62ae030c6fbf2c007,study/artifacts/evaluation/candidate/seed-2/n-15/chunk-000000.json.gz,exact,candidate,15,2,0
candidate/s2/n15/e1,e163b920835be24af29c5f71186d83194d10af430b040a6167ec47655fd7731a,study/artifacts/evaluation/candidate/seed-2/n-15/chunk-000000.json.gz,nonbipartite,candidate,15,2,1
candidate/s2/n16/e0,fc6520dbaca4a3469cfdfde3e31f2c613f91484a01d2cfdf923a531a40d689ee,study/artifacts/evaluation/candidate/seed-2/n-16/chunk-000000.json.gz,nonbipartite,candidate,16,2,0
candidate/s2/n16/e1,38b69cbdb0e410ef346f63a4a609fd071a4b3258df5cf7c4fdc5026e2a49006b,study/artifacts/evaluation/candidate/seed-2/n-16/chunk-000000.json.gz,unbalanced_bipartite,candidate,16,2,1
candidate/s2/n16/e4,754e125c97752b80769f7823cfa5d011d3bdbedd7b815cd7daf38fa1cf193987,study/artifacts/evaluation/candidate/seed-2/n-16/chunk-000000.json.gz,exact,candidate,16,2,4
candidate/s2/n17/e0,995953d4eaee1dd57a4624ac500e263cf5f3aacc091d0635af8990389ea121a0,study/artifacts/evaluation/candidate/seed-2/n-17/chunk-000000.json.gz,exact,candidate,17,2,0
candidate/s2/n17/e4,aa5b8595a25dac24a703ee410fff706ca1589bc441a391488fbf63160bb205a2,study/artifacts/evaluation/candidate/seed-2/n-17/chunk-000000.json.gz,nonbipartite,candidate,17,2,4
candidate/s2/n20/e0,5eb355999529625d048c6a1230f75dcbfd67956b79cf55a6fa2d2ae5d5b038b0,study/artifacts/evaluation/candidate/seed-2/n-20/chunk-000000.json.gz,exact,candidate,20,2,0
candidate/s2/n20/e2,f9f319ac58a3bf882853a26c569176a61c7d77996b864790c0c51ee6a7db07f1,study/artifacts/evaluation/candidate/seed-2/n-20/chunk-000000.json.gz,nonbipartite,candidate,20,2,2
candidate/s2/n20/e5,f7a4a2bd44be75389edc7239cf6b248b7f90a93cbfb3427301e681802d913ade,study/artifacts/evaluation/candidate/seed-2/n-20/chunk-000000.json.gz,unbalanced_bipartite,candidate,20,2,5
candidate/s2/n23/e0,aea43bf486448feaa462362eb361daa03e9c95728e88e5e1167ca7f694082028,study/artifacts/evaluation/candidate/seed-2/n-23/chunk-000000.json.gz,nonbipartite,candidate,23,2,0
